Time,Player_X,Player_Y,Enemy_X,Enemy_Y,Distance_to_Nearest_Enemy,Time_in_Safe_Areas,Player_Speed,Player_Direction,Input_Frequency,Events,avg_distance,time_in_safe_area,reaction_latency,speed_mean,input_rate,evade_count,normalized_distance,normalized_speed,normalized_input_rate
6.52,707,609,368.9094830134072,199.3138441221287,531.18,0.0,7,50.5,0.0,No events,531.18,0.0,0.0,7.0,0.0,0,0.53118,0.7,0.0
6.52,707,609,370.8189660268144,201.6276882442574,528.18,0.0,7,50.5,0.0,No events,529.68,0.0,0.0,7.0,0.0,0,0.52818,0.7,0.0
6.54,707,609,372.7284490402215,203.9415323663861,525.18,0.02,7,50.5,0.0,No events,528.18,0.02,0.0,7.0,0.0,0,0.52518,0.7,0.0
6.55,707,609,374.6379320536287,206.2553764885148,522.18,0.04,7,50.5,0.0,No events,526.68,0.06,0.0,7.0,0.0,0,0.52218,0.7,0.0
6.57,707,609,376.54741506703584,208.5692206106435,519.18,0.05,7,50.5,0.0,No events,525.18,0.11,0.0,7.0,0.0,0,0.51918,0.7,0.0
6.59,707,609,378.456898080443,210.8830647327722,516.18,0.07,7,50.5,0.0,No events,523.68,0.18,0.0,7.0,0.0,0,0.51618,0.7,0.0
6.6,707,609,380.3663810938502,213.1969088549009,513.18,0.09,7,50.5,0.0,No events,522.18,0.27,0.0,7.0,0.0,0,0.51318,0.7,0.0
6.62,707,609,382.27586410725735,215.5107529770296,510.18,0.1,7,50.5,0.0,No events,520.68,0.37,0.0,7.0,0.0,0,0.51018,0.7,0.0
6.64,707,609,384.1853471206645,217.8245970991583,507.18,0.12,7,50.5,0.0,No events,519.18,0.49,0.0,7.0,0.0,0,0.50718,0.7,0.0
6.65,707,609,386.0948301340717,220.138441221287,504.18,0.14,7,50.5,0.0,No events,517.68,0.63,0.0,7.0,0.0,0,0.50418,0.7,0.0
6.67,707,609,388.00431314747885,222.4522853434157,501.18,0.15,7,50.5,0.0,No events,516.18,0.78,0.0,7.0,0.0,0,0.50118,0.7,0.0
6.69,707,609,389.913796160886,224.7661294655444,498.18,0.17,7,50.5,0.0,No events,514.68,0.9500000000000001,0.0,7.0,0.0,0,0.49818,0.7,0.0
6.7,707,609,391.8232791742932,227.0799735876731,495.18,0.19,7,50.5,0.0,No events,513.1800000000001,1.1400000000000001,0.0,7.0,0.0,0,0.49518,0.7,0.0
6.72,707,609,393.7327621877004,229.3938177098018,492.18,0.2,7,50.5,0.0,No events,511.67999999999995,1.34,0.0,7.0,0.0,0,0.49218,0.7,0.0
6.74,707,609,395.6422452011075,231.7076618319305,489.18,0.22,7,50.5,0.0,No events,510.18,1.56,0.0,7.0,0.0,0,0.48918,0.7,0.0
6.75,707,609,397.5517282145147,234.0215059540592,486.18,0.24,7,50.5,0.0,No events,508.68,1.8,0.0,7.0,0.0,0,0.48618,0.7,0.0
6.77,707,609,399.46121122792186,236.3353500761879,483.18,0.25,7,50.5,0.0,No events,507.17999999999995,2.05,0.0,7.0,0.0,0,0.48318,0.7,0.0
6.79,707,609,401.370694241329,238.6491941983166,480.18,0.27,7,50.5,0.0,No events,505.68,2.32,0.0,7.0,0.0,0,0.48018,0.7,0.0
6.8,707,609,403.2801772547362,240.9630383204453,477.18,0.29,7,50.5,0.0,No events,504.18,2.61,0.0,7.0,0.0,0,0.47718,0.7,0.0
6.82,707,609,405.18966026814337,243.276882442574,474.18,0.3,7,50.5,0.0,No events,502.68,2.9099999999999997,0.0,7.0,0.0,0,0.47418,0.7,0.0
6.84,707,609,407.09914328155054,245.5907265647027,471.18,0.32,7,50.5,0.0,No events,501.17999999999995,3.2299999999999995,0.0,7.0,0.0,0,0.47118,0.7,0.0
6.85,707,609,409.0086262949577,247.9045706868314,468.18,0.34,7,50.5,0.0,No events,499.67999999999995,3.5699999999999994,0.0,7.0,0.0,0,0.46818,0.7,0.0
6.87,707,609,410.9181093083649,250.2184148089601,465.18,0.35,7,50.5,0.0,No events,498.17999999999995,3.9199999999999995,0.0,7.0,0.0,0,0.46518,0.7,0.0
6.89,707,609,412.827592321772,252.5322589310888,462.18,0.37,7,50.5,0.0,No events,496.68,4.289999999999999,0.0,7.0,0.0,0,0.46218,0.7,0.0
6.9,707,609,414.7370753351792,254.8461030532175,459.18,0.39,7,50.5,0.0,No events,495.18,4.679999999999999,0.0,7.0,0.0,0,0.45918000000000003,0.7,0.0
6.92,707,609,416.6465583485864,257.1599471753462,456.18,0.4,7,50.5,0.0,No events,493.68,5.079999999999999,0.0,7.0,0.0,0,0.45618000000000003,0.7,0.0
6.94,707,609,418.5560413619936,259.47379129747486,453.18,0.42,7,50.5,0.0,No events,492.18,5.499999999999999,0.0,7.0,0.0,0,0.45318,0.7,0.0
6.95,707,609,420.4655243754007,261.78763541960353,450.18,0.44,7,50.5,0.0,No events,490.67999999999995,5.9399999999999995,0.0,7.0,0.0,0,0.45018,0.7,0.0
6.97,707,609,422.3750073888079,264.1014795417322,447.18,0.45,7,50.5,0.0,No events,489.17999999999995,6.39,0.0,7.0,0.0,0,0.44718,0.7,0.0
6.99,707,609,424.2844904022151,266.4153236638609,444.18,0.47,7,50.5,0.0,No events,487.68,6.859999999999999,0.0,7.0,0.0,0,0.44418,0.7,0.0
7.0,707,609,426.1939734156222,268.72916778598955,441.18,0.49,7,50.5,0.0,No events,486.18,7.35,0.0,7.0,0.0,0,0.44118,0.7,0.0
7.02,707,609,428.1034564290294,271.0430119081182,438.18,0.5,7,50.5,0.0,No events,484.68,7.85,0.0,7.0,0.0,0,0.43818,0.7,0.0
7.04,707,609,430.01293944243656,273.3568560302469,435.18,0.52,7,50.5,0.0,No events,483.18,8.37,0.0,7.0,0.0,0,0.43518,0.7,0.0
7.05,707,609,431.9224224558437,275.6707001523756,432.18,0.54,7,50.5,0.0,No events,481.67999999999995,8.91,0.0,7.0,0.0,0,0.43218,0.7,0.0
7.07,707,609,433.8319054692509,277.98454427450423,429.18,0.55,7,50.5,0.0,No events,480.18,9.46,0.0,7.0,0.0,0,0.42918,0.7,0.0
7.09,707,609,435.74138848265807,280.2983883966329,426.18,0.57,7,50.5,0.0,No events,478.68,10.030000000000001,0.0,7.0,0.0,0,0.42618,0.7,0.0
7.1,707,609,437.6508714960653,282.6122325187616,423.18,0.58,7,50.5,0.0,No events,477.18,10.610000000000001,0.0,7.0,0.0,0,0.42318,0.7,0.0
7.12,707,609,439.5603545094724,284.92607664089024,420.18,0.6,7,50.5,0.0,No events,475.68,11.21,0.0,7.0,0.0,0,0.42018,0.7,0.0
7.13,707,609,441.4698375228796,287.2399207630189,417.18,0.62,7,50.5,0.0,No events,474.18,11.83,0.0,7.0,0.0,0,0.41718,0.7,0.0
7.15,707,609,443.37932053628674,289.5537648851476,414.18,0.63,7,50.5,0.0,No events,472.68,12.46,0.0,7.0,0.0,0,0.41418,0.7,0.0
7.17,707,609,445.2888035496939,291.86760900727626,411.18,0.65,7,50.5,0.0,No events,471.18,13.110000000000001,0.0,7.0,0.0,0,0.41118,0.7,0.0
7.19,707,609,447.1982865631011,294.18145312940493,408.18,0.67,7,50.5,0.0,No events,469.68,13.780000000000001,0.0,7.0,0.0,0,0.40818,0.7,0.0
7.2,707,609,449.10776957650825,296.4952972515336,405.18,0.68,7,50.5,0.0,No events,468.18000000000006,14.46,0.0,7.0,0.0,0,0.40518,0.7,0.0
7.22,707,609,451.0172525899154,298.80914137366227,402.18,0.7,7,50.5,0.0,No events,466.67999999999995,15.16,0.0,7.0,0.0,0,0.40218,0.7,0.0
7.23,707,609,452.9267356033226,301.12298549579094,399.18,0.72,7,50.5,0.0,No events,465.17999999999995,15.88,0.0,7.0,0.0,0,0.39918,0.7,0.0
7.25,707,609,454.83621861672975,303.4368296179196,396.18,0.73,7,50.5,0.0,No events,463.67999999999995,16.61,0.0,7.0,0.0,0,0.39618000000000003,0.7,0.0
7.27,707,609,456.7457016301369,305.7506737400483,393.18,0.75,7,50.5,0.0,No events,462.18,17.36,0.0,7.0,0.0,0,0.39318000000000003,0.7,0.0
7.28,707,609,458.6551846435441,308.06451786217696,390.18,0.77,7,50.5,0.0,No events,460.68,18.13,0.0,7.0,0.0,0,0.39018,0.7,0.0
7.3,707,609,460.56466765695126,310.3783619843056,387.18,0.78,7,50.5,0.0,No events,459.18,18.91,0.0,7.0,0.0,0,0.38718,0.7,0.0
7.31,707,609,462.4741506703584,312.6922061064343,384.18,0.8,7,50.5,0.0,No events,457.68,19.71,0.0,7.0,0.0,0,0.38418,0.7,0.0
7.33,707,609,464.3836336837656,315.00605022856297,381.18,0.81,7,50.5,0.0,No events,456.18,20.52,0.0,7.0,0.0,0,0.38118,0.7,0.0
7.35,707,609,466.2931166971728,317.31989435069164,378.18,0.83,7,50.5,0.0,No events,454.68,21.349999999999998,0.0,7.0,0.0,0,0.37818,0.7,0.0
7.36,707,609,468.20259971057993,319.6337384728203,375.18,0.85,7,50.5,0.0,No events,453.18,22.2,0.0,7.0,0.0,0,0.37518,0.7,0.0
7.38,707,609,470.1120827239871,321.947582594949,372.18,0.86,7,50.5,0.0,No events,451.68,23.06,0.0,7.0,0.0,0,0.37218,0.7,0.0
7.4,707,609,472.0215657373943,324.26142671707765,369.18,0.88,7,50.5,0.0,No events,450.18,23.939999999999998,0.0,7.0,0.0,0,0.36918,0.7,0.0
7.41,707,609,473.93104875080144,326.5752708392063,366.18,0.9,7,50.5,0.0,No events,448.68,24.839999999999996,0.0,7.0,0.0,0,0.36618,0.7,0.0
7.43,707,609,475.8405317642086,328.889114961335,363.18,0.91,7,50.5,0.0,No events,447.17999999999995,25.749999999999996,0.0,7.0,0.0,0,0.36318,0.7,0.0
7.45,707,609,477.7500147776158,331.20295908346367,360.18,0.93,7,50.5,0.0,No events,445.67999999999995,26.679999999999996,0.0,7.0,0.0,0,0.36018,0.7,0.0
7.46,707,609,479.6594977910229,333.51680320559234,357.18,0.95,7,50.5,0.0,No events,444.18,27.629999999999995,0.0,7.0,0.0,0,0.35718,0.7,0.0
7.48,707,609,481.5689808044301,335.830647327721,354.18,0.96,7,50.5,0.0,No events,442.68,28.589999999999996,0.0,7.0,0.0,0,0.35418,0.7,0.0
7.5,707,609,483.4784638178373,338.1444914498497,351.18,0.98,7,50.5,0.0,No events,441.18,29.569999999999997,0.0,7.0,0.0,0,0.35118,0.7,0.0
7.52,707,609,485.3879468312445,340.45833557197835,348.18,1.0,7,50.5,0.0,No events,439.68,30.569999999999997,0.0,7.0,0.0,0,0.34818,0.7,0.0
7.53,707,609,487.2974298446516,342.772179694107,345.18,1.01,7,50.5,0.0,No events,438.18,31.58,0.0,7.0,0.0,0,0.34518,0.7,0.0
7.55,707,609,489.2069128580588,345.0860238162357,342.18,1.03,7,50.5,0.0,No events,436.68,32.61,0.0,7.0,0.0,0,0.34218,0.7,0.0
7.57,707,609,491.116395871466,347.3998679383644,339.18,1.05,7,50.5,0.0,No events,435.18,33.66,0.0,7.0,0.0,0,0.33918,0.7,0.0
7.58,707,609,493.0258788848731,349.71371206049304,336.18,1.06,7,50.5,0.0,No events,433.68,34.72,0.0,7.0,0.0,0,0.33618000000000003,0.7,0.0
7.6,707,609,494.9353618982803,352.0275561826217,333.18,1.08,7,50.5,0.0,No events,432.18,35.8,0.0,7.0,0.0,0,0.33318000000000003,0.7,0.0
7.62,707,609,496.84484491168746,354.3414003047504,330.18,1.1,7,50.5,0.0,No events,430.68,36.9,0.0,7.0,0.0,0,0.33018000000000003,0.7,0.0
7.63,707,609,498.7543279250946,356.65524442687905,327.18,1.12,7,50.5,0.0,No events,429.17999999999995,38.019999999999996,0.0,7.0,0.0,0,0.32718,0.7,0.0
7.65,707,609,500.6638109385018,358.9690885490077,324.18,1.13,7,50.5,0.0,No events,427.68,39.15,0.0,7.0,0.0,0,0.32418,0.7,0.0
7.67,707,609,502.57329395190897,361.2829326711364,321.18,1.15,7,50.5,0.0,No events,426.18,40.3,0.0,7.0,0.0,0,0.32118,0.7,0.0
7.68,707,609,504.4827769653161,363.59677679326506,318.18,1.16,7,50.5,0.0,No events,424.68,41.459999999999994,0.0,7.0,0.0,0,0.31818,0.7,0.0
7.7,707,609,506.3922599787233,365.91062091539374,315.18,1.18,7,50.5,0.0,No events,423.18,42.63999999999999,0.0,7.0,0.0,0,0.31518,0.7,0.0
7.72,707,609,508.30174299213047,368.2244650375224,312.18,1.2,7,50.5,0.0,No events,421.68,43.839999999999996,0.0,7.0,0.0,0,0.31218,0.7,0.0
7.73,707,609,510.2112260055376,370.5383091596511,309.18,1.22,7,50.5,0.0,No events,420.18,45.059999999999995,0.0,7.0,0.0,0,0.30918,0.7,0.0
7.75,707,609,512.1207090189448,372.85215328177975,306.18,1.23,7,50.5,0.0,No events,418.68,46.28999999999999,0.0,7.0,0.0,0,0.30618,0.7,0.0
7.77,707,609,514.0301920323519,375.1659974039084,303.18,1.25,7,50.5,0.0,No events,417.18,47.53999999999999,0.0,7.0,0.0,0,0.30318,0.7,0.0
7.78,707,609,515.939675045759,377.4798415260371,300.18,1.26,7,50.5,0.0,No events,415.68,48.79999999999999,0.0,7.0,0.0,0,0.30018,0.7,0.0
7.8,707,609,517.8491580591661,379.79368564816576,297.18,1.28,7,50.5,0.0,No events,414.18,50.07999999999999,0.0,7.0,0.0,0,0.29718,0.7,0.0
7.81,707,609,519.7586410725733,382.1075297702944,294.18,1.29,7,50.5,0.0,No events,412.68,51.36999999999999,0.0,7.0,0.0,0,0.29418,0.7,0.0
7.83,707,609,521.6681240859804,384.4213738924231,291.18,1.31,7,50.5,0.0,No events,411.18,52.67999999999999,0.0,7.0,0.0,0,0.29118,0.7,0.0
7.85,707,609,523.5776070993875,386.7352180145518,288.18,1.33,7,50.5,0.0,No events,409.68,54.00999999999999,0.0,7.0,0.0,0,0.28818,0.7,0.0
7.86,707,609,525.4870901127947,389.0490621366805,285.18,1.34,7,50.5,0.0,No events,408.18,55.349999999999994,0.0,7.0,0.0,0,0.28518,0.7,0.0
7.88,707,609,527.3965731262018,391.3629062588091,282.18,1.36,7,50.5,0.0,No events,406.68,56.709999999999994,0.0,7.0,0.0,0,0.28218,0.7,0.0
7.89,707,609,529.3060561396089,393.6767503809378,279.18,1.38,7,50.5,0.0,No events,405.18,58.089999999999996,0.0,7.0,0.0,0,0.27918,0.7,0.0
7.91,707,609,531.2155391530162,395.99059450306646,276.18,1.39,7,50.5,0.0,No events,403.68000000000006,59.48,0.0,7.0,0.0,0,0.27618,0.7,0.0
7.93,707,609,533.1250221664233,398.30443862519513,273.18,1.41,7,50.5,0.0,No events,402.18000000000006,60.88999999999999,0.0,7.0,0.0,0,0.27318000000000003,0.7,0.0
7.94,707,609,535.0345051798305,400.6182827473238,270.18,1.42,7,50.5,0.0,No events,400.68000000000006,62.309999999999995,0.0,7.0,0.0,0,0.27018000000000003,0.7,0.0
7.96,707,609,536.9439881932376,402.9321268694525,267.18,1.44,7,50.5,0.0,No events,399.17999999999995,63.74999999999999,0.0,7.0,0.0,0,0.26718000000000003,0.7,0.0
7.98,707,609,538.8534712066448,405.2459709915812,264.18,1.46,7,50.5,0.0,No events,397.67999999999995,65.21,0.0,7.0,0.0,0,0.26418,0.7,0.0
7.99,707,609,540.7629542200519,407.5598151137098,261.18,1.48,7,50.5,0.0,No events,396.17999999999995,66.69,0.0,7.0,0.0,0,0.26118,0.7,0.0
8.01,707,609,542.672437233459,409.8736592358385,258.18,1.49,7,50.5,0.0,No events,394.67999999999995,68.17999999999999,0.0,7.0,0.0,0,0.25818,0.7,0.0
8.03,707,609,544.5819202468663,412.1875033579672,255.18,1.51,7,50.5,0.0,No events,393.17999999999995,69.69,0.0,7.0,0.0,0,0.25518,0.7,0.0
8.04,707,616,546.4515665397234,414.5336539796463,257.61,1.52,7,51.4,0.0,No events,391.7377659574468,71.21,0.009999999999999787,7.0,0.0,0,0.25761,0.7,0.0
8.06,707,623,548.2820573889206,416.910480277676,260.12,1.54,7,52.4,0.0,No events,390.3523157894737,72.75,0.009999999999999787,7.0,0.0,0,0.26012,0.7,0.0
8.08,707,630,550.0741046327034,419.3164243077919,262.7,1.56,7,53.3,0.0,No events,389.02260416666667,74.31,0.009999999999999787,7.0,0.0,0,0.2627,0.7,0.0
8.09,707,637,551.8284448045806,421.749999981844,265.35,1.57,7,54.2,0.0,No events,387.7476288659793,75.88,0.009999999999999787,7.0,0.0,0,0.26535000000000003,0.7,0.0
8.11,707,644,553.545833781708,424.2097916602675,268.06,1.59,7,55.1,0.0,No events,386.52632653061227,77.47,0.009999999999999787,7.0,0.0,0,0.26806,0.7,0.0
8.12,707,651,555.2270419336415,426.6944524318564,270.83,1.61,7,55.9,0.0,No events,385.3576767676768,79.08,0.009999999999999787,7.0,0.0,0,0.27082999999999996,0.7,0.0
8.16,707,658,556.8728497518861,429.2027021453827,273.65,1.62,10,56.7,0.0,Picked speed_boost,384.2406,80.7,0.009999999999999787,7.03,0.0,0,0.27365,1.0,0.0
8.17,707,668,558.4695625328966,431.7424872337234,279.07,1.65,10,57.8,0.0,No events,383.19930693069307,82.35000000000001,0.009999999999999787,7.0594059405940595,0.0,0,0.27907,1.0,0.0
8.18,707,678,560.0189973730268,434.3113881030041,284.58,1.66,10,58.9,0.0,No events,382.2324509803922,84.01,0.009999999999999787,7.088235294117647,0.0,0,0.28458,1.0,0.0
8.2,707,688,561.5229387393232,436.907184775847,290.19,1.68,10,59.9,0.0,No events,381.3388349514563,85.69000000000001,0.009999999999999787,7.116504854368932,0.0,0,0.29019,1.0,0.0
